"ms","ms_name_en","cci","programme_title_short","status","version","last_adoption_date_ecms","priority_code","priority_name","policy_objective_short_name","policy_objective_code","policy_objective_name","specific_objective_short_name","specific_objective_code","specific_objective_name","dimension_type","category_title_short","category_code","category_name","fund","category_of_region","cofinancing_rate","eu_amount","total_amount","climate_weighting","eu_climate_amount","total_climate_amount","environmental_weighting","eu_environmental_amount","total_environmental_amount","biodiversity_weighting","eu_biodiversity_amount","total_biodiversity_amount","gender_weighting","eu_gender_amount","total_gender_amount","clean_air_weighting","eu_clean_air_amount","total_clean_air_amount","digital_weighting","eu_amount_digital","total_amount_digital","sustainable_urban_development","territorial_tool","territory_type","un_sdg_tracking","jtf_themes","priority_type_code","priority_type_description"
"HU","Hungary","2021HU16FFPR003","Integrated Transport Development Plus – HU – CF/ERDF","Adopted by EC","1.2","2022-12-22","2","TEN-T vasúti és regionális intermodális közlekedés fejlesztése","PO3 Connected Europe","3","Connected Europe","RSO3.1 Sustainable TEN-T","RSO3.1","Sustainable TEN-T","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999992","593716434","698489923.01",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.002 Border surveillance – air equipment","SO1.002","Border surveillance - air equipment","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.025 Large-scale IT systems – Interoperability","SO1.025","Large-scale IT systems - Interoperability","BMVI","BMVI","0.9015722379","8183681.19","9077121.99",,,,,,,,,,,,,,,,"1","8183681.19","9077121.99",,,,,,,
"TC","Interreg","2021TC16IPCB001","Interreg VI-A - Hungary-Serbia","Adopted by EC","1.1","2022-11-04","3","Priority 3: Cross-border institutional and civil cooperation","PO7 Interreg: Safer and more secure Europe","7","Interreg: Safer and more secure Europe","ISO7.2 Mobility and migration management","ISO7.2","Mobility and migration management","Form of Support","01 grant","01","Grant","Interreg Funds","Interreg Funds","0.8499999532","5727272","6737967.42",,,,,,,,,,,,,,,,,,,,,,,,,
"TC","Interreg","2021TC16RFCB025","Interreg VI-A - Öresund-Kattegat-Skagerrak","Adopted by EC","1.3","2022-07-11","2","Hållbar, cirkulär och klimatsmart region","PO2 Greener Europe","2","Greener Europe","RSO2.6 Circular economy","RSO2.6","Circular economy","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","Interreg Funds","Interreg Funds","0.6","16176870","26961450",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"TC","Interreg","2021TC16IPCB001","Interreg VI-A - Hungary-Serbia","Adopted by EC","1.1","2022-11-04","3","Priority 3: Cross-border institutional and civil cooperation","PO6 Interreg: Cooperation Governance","6","Interreg: Cooperation Governance","ISO6.6 Other actions to support better cooperation governance","ISO6.6","Other actions to support better cooperation governance","Form of Support","01 grant","01","Grant","Interreg Funds","Interreg Funds","0.8499999532","17181820","20213907",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.007 Other ICT systems for visa application processing","SO2.007","Other ICT systems for visa application processing purposes","BMVI","BMVI","0.8742649244","1000000","1143818.05",,,,,,,,,,,,,,,,"1","1000000","1143818.05",,,,,,,
"TC","Interreg","2021TC16IPCB001","Interreg VI-A - Hungary-Serbia","Adopted by EC","1.1","2022-11-04","3","Priority 3: Cross-border institutional and civil cooperation","PO6 Interreg: Cooperation Governance","6","Interreg: Cooperation Governance","ISO6.6 Other actions to support better cooperation governance","ISO6.6","Other actions to support better cooperation governance","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","Interreg Funds","Interreg Funds","0.8499999532","17181820","20213907",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.014 European Border and Coast Guard development","SO1.014","European Border and Coast Guard development","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.003 Document security/document advisers","SO2.003","Document security / document advisors","BMVI","BMVI","0.8742649244","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.004 Consular cooperation","SO2.004","Consular cooperation","BMVI","BMVI","0.8742649244","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR)","TA.36(5)","Technical assistance - flat rate (Art. 36(5) CPR)","Intervention Field","TA.36(5).035 Preparation, implementation, monitoring","TA.36(5).035","Preparation, implementation, monitoring and control","ISF","ISF","1","416802.32","416802.32",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","1 Exchange of information","1","Exchange of information","Type of Action ISF","SO1.010 Buildings, facilities","SO1.010","Buildings, facilities","ISF","ISF","0.7709219792","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","2 Cross-border cooperation","2","Cross-border cooperation","Type of Action ISF","SO2.008 Equipment","SO2.008","Equipment","ISF","ISF","0.8675523214","144000","165984.23",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.011 Issuance of visas with limited territorial validity","SO2.011","Issuance of visas with limited territorial validity","BMVI","BMVI","0.8742649244","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.010 Operating support – Special Transit Scheme","SO2.010","Operating support - Special Transit Scheme","BMVI","BMVI","0.8742649244","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"TC","Interreg","2021TC16IPCB001","Interreg VI-A - Hungary-Serbia","Adopted by EC","1.1","2022-11-04","3","Priority 3: Cross-border institutional and civil cooperation","PO7 Interreg: Safer and more secure Europe","7","Interreg: Safer and more secure Europe","ISO7.2 Mobility and migration management","ISO7.2","Mobility and migration management","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","Interreg Funds","Interreg Funds","0.8499999532","5727272","6737967.42",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"TC","Interreg","2021TC16RFCB006","Interreg VI-A - Spain-France-Andorra (POCTEFA)","Adopted by EC","1.2","2022-11-24","P4","Construir un espacio transfronterizo inclusivo y socialmente más integrado.","PO4 Social Europe","4","Social Europe","RSO4.3 Integration of marginalised communities","RSO4.3","Integration of marginalised communities","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","Interreg Funds","Interreg Funds","0.6500000115","6704031","10313893.66",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.006 Large-scale IT systems – Visa Information System (VIS)","SO2.006","Large-scale IT systems  - Visa Information System (VIS)","BMVI","BMVI","0.8742649244","3062912.78","3503414.92",,,,,,,,,,,,,,,,"1","3062912.78","3503414.92",,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.018 Joint deployment of immigration liaison officers","SO1.018","Joint deployment of immigration liaison officers","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.007 Technical and operational measures within Schengen area","SO1.007","Technical and operational measures within the Schengen area which are related to border control","BMVI","BMVI","0.9015722379","7126630.15","7904669.03",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","3 Preventing and combating crime","3","Preventing and combating crime","Type of Action ISF","SO3.002 Networks, centres of excell., coop. structures, …","SO3.002","Networks, centres of excellence, cooperation structures, joint actions and operations","ISF","ISF","0.8481225506","971000","1144881.71",,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","6","Nachhaltige und Integrierte Stadtentwicklung","PO5 Europe closer to citizens","5","Europe closer to citizens","RSO5.1 Integrated development in urban areas","RSO5.1","Integrated development in urban areas","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Transition","0.599999999","115675894","192793156.99",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","1","Stärkung von Forschung, technologischer Entwicklung und Innovation","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Form of Support","01 grant","01","Grant","ERDF","Transition","0.6","361000000","601666666.67",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.001 Border checks","SO1.001","Border checks","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.015 Inter-agency cooperation – national level","SO1.015","Inter-agency cooperation - national level","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","3","Verringerung der CO2-Emission","PO2 Greener Europe","2","Greener Europe","RSO2.1 Energy efficiency","RSO2.1","Energy efficiency","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Transition","0.6","152160000","253600000",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.005 Border surveillance - automated border surveillance systems","SO1.005","Border surveillance - automated border surveillance systems","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,"1","0","0",,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","1 Exchange of information","1","Exchange of information","Type of Action ISF","SO1.008 Equipment","SO1.008","Equipment","ISF","ISF","0.7709219792","360000","466973.33",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.010 Processing of data and information","SO1.010","Processing of data and information","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,"1","0","0",,,,,,,
"CY","Cyprus","2021CY65BVPR001","Cyprus - BMVI","Adopted by EC (TF Proposed)","1.2","2023-01-23",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.013 Measures for identi. of persons for internat. protection","SO1.013","Measures related to the identification and referral of persons who are in need of, or wish to apply for, international protection","BMVI","BMVI","0.8214677101","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.020 Large-scale IT systems – Entry/Exit System (EES)","SO1.020","Large-scale IT systems  -  Entry-exit System (EES)","BMVI","BMVI","0.9015722379","7047379.46","7816766.27",,,,,,,,,,,,,,,,"1","7047379.46","7816766.27",,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.005 Consular coverage","SO2.005","Consular coverage","BMVI","BMVI","0.8742649244","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.013 Measures for identi. of persons for internat. protection","SO1.013","Measures related to the identification and referral of persons who are in need of, or wish to apply for, international protection","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","2 Cross-border cooperation","2","Cross-border cooperation","Type of Action ISF","SO2.006 Exchange of BP, conferences,comm. activities ...","SO2.006","Exchange of best practices, workshops, conferences, events, awareness-raising campaigns, communication activities","ISF","ISF","0.8675523214","1058800","1220445.12",,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","4","Anpassung an den Klimawandel, Risikoprävention und Katastrophenresilienz","PO2 Greener Europe","2","Greener Europe","RSO2.4 Climate change adaptation","RSO2.4","Climate change adaptation","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Transition","0.6","155540000","259233333.33",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.003 Border surveillance – land equipment","SO1.003","Border surveillance - land equipment","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","2","Stärkung des Wachstums und der Wettbewerbsfähigkeit von KMU","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Form of Support","01 grant","01","Grant","ERDF","Transition","0.6","108000000","180000000",,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","2","Stärkung des Wachstums und der Wettbewerbsfähigkeit von KMU","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Form of Support","03 Financial instruments: loan","03","Support through financial instruments: loan","ERDF","Transition","0.6","58223131","97038551.67",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","3 Preventing and combating crime","3","Preventing and combating crime","Type of Action ISF","SO3.005 Training","SO3.005","Training","ISF","ISF","0.8481225506","1977750","2331915.36",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.012 Data quality and data subjects’ rights to information","SO2.012","Data quality and data subjects’ rights to information, access to, rectification and erasure of, their personal data, and to the restriction of the processing thereof","BMVI","BMVI","0.8742649244","0","0",,,,,,,,,,,,,,,,"1","0","0",,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","2","Stärkung des Wachstums und der Wettbewerbsfähigkeit von KMU","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Form of Support","02 Financial instruments: equity or quasi-equity","02","Support through financial instruments: equity or quasi-equity","ERDF","Transition","0.6","33000000","55000000",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.008 Operating support – Common visa policy","SO2.008","Operating support - Common visa policy","BMVI","BMVI","0.8742649244","2562912.78","2931505.9",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.021 Large-scale IT systems – (ETIAS) – others","SO1.021","Large-scale IT systems  -  European Travel Information and Authorisation System (ETIAS) - others","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,"1","0","0",,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","2","Stärkung des Wachstums und der Wettbewerbsfähigkeit von KMU","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Transition","0.6","199223131","332038551.67",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR)","TA.36(5)","Technical assistance - flat rate (Art. 36(5) CPR)","Intervention Field","TA.36(5).037 Capacity building","TA.36(5).037","Capacity building","ISF","ISF","1","416802.33","416802.33",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","1 Exchange of information","1","Exchange of information","Type of Action ISF","SO1.009 Means of transport","SO1.009","Means of transport","ISF","ISF","0.7709219792","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.001 Improving visa application processing","SO2.001","Improving visa application processing","BMVI","BMVI","0.8742649244","4478007.12","5122025.37",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","2 Cross-border cooperation","2","Cross-border cooperation","Type of Action ISF","SO2.009 Means of transport","SO2.009","Means of transport","ISF","ISF","0.8675523214","118000","136014.85",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.028 Operating support – Special Transit Scheme","SO1.028","Operating support - Special Transit Scheme","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"DE","Germany","2021DE16RFPR011","Thüringen - DE - ERDF","Adopted by EC","2.1","2023-03-07","3","Verringerung der CO2-Emission","PO2 Greener Europe","2","Greener Europe","RSO2.1 Energy efficiency","RSO2.1","Energy efficiency","Form of Support","01 grant","01","Grant","ERDF","Transition","0.6","152160000","253600000",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","3 Preventing and combating crime","3","Preventing and combating crime","Type of Action ISF","SO3.008 Equipment","SO3.008","Equipment","ISF","ISF","0.8481225506","2557625","3015631.41",,,,,,,,,,,,,,,,,,,,,,,,,
"AT","Austria","2021AT65ISPR001","Austria - ISF","Adopted by EC","2","2023-06-19",,,"PO1 Security","1","Security","1 Exchange of information","1","Exchange of information","Type of Action ISF","SO1.001 ICT systems, interoperability, data quality","SO1.001","ICT systems, interoperability, data quality (excluding equipment)","ISF","ISF","0.7709219792","3681000","4774802.25",,,,,,,,,,,,,,,,"1","3681000","4774802.25",,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.026 Operating support – Integrated border management","SO1.026","Operating support - Integrated border management","BMVI","BMVI","0.9015722379","5344369.17","5927832.45",,,,,,,,,,,,,,,,,,,,,,,,,
"TC","Interreg","2021TC16RFCB015","Interreg VI-A - Sweden-Norway","Adopted by EC","1.3","2022-09-23","1","EN SMARTARE GRÄNSREGION MED FÖRBÄTTRAD INNOVATIONSKAPACITET OCH KONKURRENSKRAFTIGA SMÅ OCH MEDELSTORA FÖRETAG","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","Interreg Funds","Interreg Funds","0.6537305184","11941600","18266854.1",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR)","TA.36(5)","Technical assistance - flat rate (Art. 36(5) CPR)","Intervention Field","TA.36(5).002 Preparation, implementation, monitoring and control","TA.36(5).002","Preparation, implementation, monitoring and control","BMVI","BMVI","1","4198362.31","4198362.31",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR)","TA.36(5)","Technical assistance - flat rate (Art. 36(5) CPR)","Intervention Field","TA.36(5).004 Capacity building","TA.36(5).004","Capacity building","BMVI","BMVI","1","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR)","TA.36(5)","Technical assistance - flat rate (Art. 36(5) CPR)","Intervention Field","TA.36(5).001 Information and communication","TA.36(5).001","Information and communication","BMVI","BMVI","1","132579.86","132579.86",,,,,,,,,,,,,,,,,,,,,,,,,
"CZ","Czechia","2021CZ16JTPR001","Just Transition - CZ - JTF","Adopted by EC","1.3","2022-09-27","1","Priorita Karlovarský kraj","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","JTF","JTF","0.8499999959","241102345","283649819.02",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.004 Border surveillance – maritime equipment","SO1.004","Border surveillance - maritime equipment","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.027 Operating support–Large IT systems for border management","SO1.027","Operating support - Large-scale IT systems for border management purposes","BMVI","BMVI","0.9015722379","8196941.12","9091829.56",,,,,,,,,,,,,,,,"1","8196941.12","9091829.56",,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.022 Large-scale IT systems – (ETIAS) – Article 85(2) of Reg.","SO1.022","Large-scale IT systems - European Travel Information and Authorisation System (ETIAS) - Article 85(2) of Regulation (EU) 2018/1240","BMVI","BMVI","0.9015722379","18661796.57","20699169.5",,,,,,,,,,,,,,,,"1","18661796.57","20699169.5",,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.012 Measures related to identification of vulnerable persons","SO1.012","Measures related to the identification and referral of vulnerable persons","BMVI","BMVI","0.9015722379","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","1 European integrated border management","1","European integrated border management","Intervention Field","SO1.024 Large-scale IT systems – Schengen Infor. System (SIS)","SO1.024","Large-scale IT systems  -  Schengen Information System (SIS)","BMVI","BMVI","0.9015722379","6438098.91","7140968.45",,,,,,,,,,,,,,,,"1","6438098.91","7140968.45",,,,,,,
"NL","Netherlands","2021NL65BVPR001","Netherlands - BMVI","Adopted by EC","2","2023-07-04",,,"PO1 Borders and visa","1","Borders and visa","TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR)","TA.36(5)","Technical assistance - flat rate (Art. 36(5) CPR)","Intervention Field","TA.36(5).003 Evaluation and studies, data collection","TA.36(5).003","Evaluation and studies, data collection","BMVI","BMVI","1","88386.58","88386.58",,,,,,,,,,,,,,,,,,,,,,,,,
