"ms","ms_name_en","cci","programme_title_short","status","version","last_adoption_date_ecms","priority_code","priority_name","policy_objective_short_name","policy_objective_code","policy_objective_name","specific_objective_short_name","specific_objective_code","specific_objective_name","dimension_type","category_title_short","category_code","category_name","fund","category_of_region","cofinancing_rate","eu_amount","total_amount","climate_weighting","eu_climate_amount","total_climate_amount","environmental_weighting","eu_environmental_amount","total_environmental_amount","biodiversity_weighting","eu_biodiversity_amount","total_biodiversity_amount","gender_weighting","eu_gender_amount","total_gender_amount","clean_air_weighting","eu_clean_air_amount","total_clean_air_amount","digital_weighting","eu_amount_digital","total_amount_digital","sustainable_urban_development","territorial_tool","territory_type","un_sdg_tracking","jtf_themes","priority_type_code","priority_type_description"
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","9","Priorité 9 : Formation, emploi, création, orientation, santé","PO4 Social Europe","4","Social Europe","ESO4.7 Lifelong learning and career transitions","ESO4.7","Lifelong learning and career transitions","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","More developed","0.3999999993","49692750","124231875.22",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL16RFPR004","Oost-Nederland – NL – ERDF","Adopted by EC","2","2023-07-12","1","Een slimmer Oost-Nederland door de bevordering van een innovatieve en slimme economische transformatie","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Form of Support","03 Financial instruments: loan","03","Support through financial instruments: loan","ERDF","More developed","0.3678263732","5447618","14810297.46",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","6","Zuid-Limburg","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","028 Technology transfer and cooperation","028","Technology transfer and cooperation between enterprises, research centres and higher education sector","JTF","JTF","0.4999999957","9545835.62","19091671.4","1","9545835.62","19091671.4","0","0","0","0","0","0",,,,"0","0","0","0.4","3818334.248","7636668.56",,,,"SDG 9 Industry, innovation, infrastructure","RTDI",,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","4","Zeeuws-Vlaanderen","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","146 Adaptation to change of workers, firms and entrepreneurs","146","Support for adaptation of workers, enterprises and entrepreneurs to change","JTF","JTF","0.4999999957","7601109.3","15202218.73","1","7601109.3","15202218.73","0","0","0","0","0","0",,,,"0","0","0","0","0","0",,,,"SDG 8 Decent work and economic growth","Skills, job-search and education",,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","5","Priorité 5 : Approches territoriales","PO5 Europe closer to citizens","5","Europe closer to citizens","RSO5.2 Integrated development in rural and coastal areas","RSO5.2","Integrated development in rural and coastal areas","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Transition","0.5999999885","10000000","16666666.99",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","5","West-Noord-Brabant","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","141 Labour mobility","141","Support for labour mobility","JTF","JTF","0.4999999957","500000","1000000.01","1","500000","1000000.01","0","0","0","0","0","0",,,,"0","0","0","0","0","0",,,,"SDG 8 Decent work and economic growth","Skills, job-search and education",,
"NL","Netherlands","2021NL16RFPR004","Oost-Nederland – NL – ERDF","Adopted by EC","2","2023-07-12","2","Een groener Oost-Nederland door innovatie, demonstratie en acceptatie van slimme oplossingen in de energietransitie","PO2 Greener Europe","2","Greener Europe","RSO2.3 Smart energy systems","RSO2.3","Smart energy systems","Intervention Field","029 Low carbon R+I processes, tech-transfer and cooperation","029","Research and innovation processes, technology transfer and cooperation between enterprises, research centres and universities, focusing on the low carbon economy, resilience and adaptation to climate change","ERDF","More developed","0.3988320581","7972918","19990664.84","1","7972918","19990664.84","0.4","3189167.2","7996265.94","0","0","0",,,,"0.4","3189167.2","7996265.94","0","0","0",,,,"SDG 9 Industry, innovation, infrastructure","RTDI",,
"ES","Spain","2021ES05SFPR021","Murcia - ESF+","Adopted by EC","1.1","2022-12-20","2","Inclusión Social y Lucha contra la pobreza","PO4 Social Europe","4","Social Europe","ESO4.8 Active inclusion and employability","ESO4.8","Active inclusion and employability","ESF Secondary Themes","10 Addressing challenges identified in the European Semester","10","Addressing challenges identified in the European Semester","ESF+","Transition","0.5999999881","17400000","29000000.58","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
"PL","Poland","2021PL65ISPR001","Poland - ISF","Adopted by EC (TF Accepted)","1.1","2022-12-09",,,"PO1 Security","1","Security","1 Exchange of information","1","Exchange of information","Type of Action ISF","SO1.005 Training","SO1.005","Training","ISF","ISF","0.8341539332","2633310.55","3156864.03",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","2","IJmond","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","051 Renewable energy: marine","051","Renewable energy: marine","JTF","JTF","0.4999999957","938408.68","1876817.38","1","938408.68","1876817.38","0.4","375363.47","750726.95","0","0","0",,,,"0.4","375363.47","750726.95","0","0","0",,,,"SDG 7 Affordable and clean energy","Clean energy",,
